borough,avg_house_price
City of London,"950,760"
Barking and Dagenham,"301,518"
Barnet,"667,593"
Bexley,"357,779"
Brent,"578,705"
Bromley,"502,623"
Camden,"1,099,876"
Croydon,"399,645"
Ealing,"578,110"
Enfield,"463,806"
Greenwich,"462,820"
Hackney,"614,955"
Hammersmith and Fulham,"972,231"
Haringey,"683,987"
Harrow,"527,206"
Havering,"387,535"
Hillingdon,"452,272"
Hounslow,"507,876"
Islington,"778,290"
Kensington and Chelsea,"2,092,485"
Kingston upon Thames,"573,938"
Lambeth,"616,126"
Lewisham,"475,142"
Merton,"638,519"
Newham,"409,477"
Redbridge,"452,437"
Richmond upon Thames,"819,044"
Southwark,"641,210"
Sutton,"402,121"
Tower Hamlets,"554,009"
Waltham Forest,"459,922"
Wandsworth,"818,443"
City of Westminster,"1,718,124"
