neighbourhood_cleansed,capped_or_income
City of Westminster,561.075276947424
Kensington and Chelsea,496.8955891583452
City of London,484.3550200803213
Camden,461.8620152761468
Southwark,376.9916090672607
Islington,373.0865265571268
Hammersmith and Fulham,360.10756665256037
Tower Hamlets,347.230361060329
Lambeth,324.60286815728654
Hackney,283.11752657689567
Wandsworth,269.53385086823283
Greenwich,263.15828235294117
Newham,255.67092682926844
Brent,244.99194864048357
Richmond upon Thames,238.5430145867098
Haringey,238.4728173374611
Hounslow,218.76454545454556
Hillingdon,206.07262839879152
Ealing,201.656460807601
Kingston upon Thames,176.9057936507936
Barnet,172.54108991825615
Lewisham,172.18787148594396
Barking and Dagenham,170.78901639344267
Merton,166.803745819398
Croydon,164.1889904761905
Waltham Forest,163.40905901116423
Sutton,153.6373913043479
Enfield,149.28881118881122
Redbridge,142.37457413249214
Harrow,142.1017937219731
Havering,132.63920792079205
Bromley,124.25456869009587
Bexley,101.12808080808081
